,p1,p2,beta
348,55719,47866,1
349,55849,23063,1
350,55849,31533,1
351,55849,43854,1
352,56151,36057,1
353,56151,37808,1
354,56336,12796,1
355,56336,45776,1
356,56336,46551,1
357,56569,93,1
358,56569,36441,1
359,56622,10257,1
360,56810,41013,1
361,57020,42549,1
362,57020,45239,1
363,57183,18509,1
364,57183,40491,1
365,57682,27743,1
366,57682,28614,1
367,57682,47866,1
368,57682,55719,1
369,57687,1396,1
370,57687,44267,1
371,57973,11791,1
372,57973,38037,1
373,57973,40856,1
374,58185,50201,1
375,58185,52563,1
376,58288,13067,1
377,58291,12114,1
378,58311,2480,1
379,58311,25822,1
380,58311,53372,1
381,58398,31941,1
382,58398,43905,1
383,58444,21326,1
384,58677,7940,1
385,59604,15683,1
386,59604,37808,1
387,59604,56151,1
388,60030,93,1
389,60030,5656,1
390,60030,31081,1
391,60044,50201,1
392,60044,58185,1
393,60403,703,1
394,60403,37339,1
395,60661,2515,1
396,60661,37073,1
397,60768,24421,1
398,60768,41013,1
399,60768,47912,1
400,60768,56810,1
401,60907,30131,1
402,60907,34434,1
403,60907,35656,1
404,60907,46420,1
405,61083,37073,1
406,61213,12905,1
407,61213,20530,1
408,61213,30547,1
409,61495,8473,1
410,61495,20530,1
411,61495,30547,1
412,61495,38628,1
413,61495,50903,1
414,61588,24168,1
415,61588,31949,1
416,61979,35471,1
417,61979,36737,1
418,61979,47489,1
419,62416,11525,1
420,62416,30870,1
421,62416,54400,1
422,62567,17039,1
423,62567,28620,1
424,62577,570,1
425,62577,24854,1
426,62577,49120,1
427,62577,49800,1
428,62824,461,1
429,62824,9172,1
430,62824,48009,1
431,62902,210,1
432,62902,8372,1
433,63377,5950,1
434,63377,17258,1
435,63377,24893,1
436,63377,28252,1
437,63377,42755,1
438,63453,2423,1
439,63506,24161,1
440,63506,26507,1
441,63506,54436,1
442,63647,26507,1
443,63647,45329,1
444,63778,33156,1
445,63778,43905,1
446,63805,7558,1
447,63805,40615,1
448,63884,31533,1
449,63945,2964,1
450,63945,13385,1
451,64455,8422,1
452,64455,16397,1
453,64455,18322,1
454,64455,51833,1
455,64671,17039,1
456,64671,42466,1
457,64671,56546,1
458,64861,8107,1
459,64861,28404,1
460,64911,37044,1
461,64911,55699,1
462,65771,1042,1
463,65885,65771,1
464,65954,22390,1
465,65954,35450,1
466,65954,51967,1
467,66342,1396,1
468,66342,57687,1
469,66357,30131,1
470,66357,34434,1
471,66357,35656,1
472,66357,46420,1
473,66357,60907,1
474,66478,866,1
475,66478,19598,1
476,66925,2139,1
477,66925,66826,1
478,67289,6393,1
479,67289,24105,1
480,67289,65954,1
481,67341,42466,1
482,67341,56546,1
483,67341,64671,1
484,67409,5241,1
485,67409,11472,1
486,67430,31219,1
487,67438,2666,1
488,67438,17244,1
489,67917,2515,1
490,67917,18678,1
491,67917,36057,1
492,68063,2964,1
493,68063,21802,1
494,68063,25824,1
495,68063,30870,1
496,68203,1042,1
497,68377,9172,1
498,68377,22727,1
499,68377,31317,1
500,68608,9172,1
501,68608,22727,1
502,68608,31317,1
503,68730,14859,1
504,68730,24131,1
505,69111,39188,1
506,69231,35471,1
507,69430,8107,1
508,69430,64861,1
509,69498,35450,1
510,69498,65954,1
511,69498,67289,1
512,69636,28809,1
513,69636,55849,1
514,69661,866,1
515,69661,7565,1
516,69661,20429,1
517,69661,52262,1
518,69661,52563,1
519,69809,703,1
520,69976,18554,1
521,69976,42123,1
522,69976,52563,1
523,69976,53297,1
524,69976,55163,1
525,69993,10777,1
526,69993,20856,1
527,69993,24943,1
528,70046,1159,1
529,70046,37430,1
530,70046,42555,1
531,70046,45709,1
532,70133,15683,1
533,70133,37808,1
534,70133,59604,1
535,70297,4557,1
536,70297,12772,1
537,70297,58311,1
538,70478,45957,1
539,70478,54907,1
540,70489,5758,1
541,70489,26714,1
542,70813,43378,1
543,70813,68357,1
544,70826,69809,1
545,71048,17258,1
546,71048,26507,1
547,71048,58288,1
548,71466,12796,1
549,71466,25474,1
550,71466,32092,1
551,72068,16127,1
552,72068,21326,1
553,72068,58444,1
554,72116,9704,1
555,72116,18509,1
556,72116,57183,1
557,72505,8963,1
558,72505,10696,1
559,72505,21326,1
560,72505,35793,1
561,72774,13465,1
562,72911,49161,1
563,72911,70489,1
564,73256,3310,1
565,73256,23046,1
566,73256,50436,1
567,73292,20507,1
568,73292,32588,1
569,73292,47260,1
570,73504,29351,1
571,73565,24512,1
572,73565,28122,1
573,73565,42839,1
574,73565,52898,1
575,73662,25824,1
576,73662,30870,1
577,73662,37611,1
578,73662,52825,1
579,74064,1042,1
580,74064,43709,1
581,74556,63945,1
582,75102,2139,1
583,75102,66826,1
584,75102,66925,1
585,75279,10756,1
586,75279,61213,1
587,75281,11472,1
588,75281,62416,1
589,75281,67409,1
590,75452,18946,1
591,75452,33771,1
592,75452,63453,1
593,75677,3396,1
594,75677,13385,1
595,75677,18678,1
596,75677,63945,1
597,75757,7940,1
598,75757,29586,1
599,75757,30966,1
600,75757,48947,1
601,76122,19221,1
602,76122,22556,1
603,76122,49396,1
604,76180,13465,1
605,76180,72774,1
606,76314,11925,1
607,76314,42549,1
608,76314,45239,1
609,76330,26358,1
610,76330,49161,1
611,76330,70489,1
612,76330,72911,1
613,76335,4557,1
614,76335,30582,1
615,76335,70297,1
616,76367,4999,1
617,76367,23248,1
618,76367,26714,1
619,76640,8107,1
620,76640,53908,1
621,76640,69430,1
622,76746,44723,1
623,76746,51140,1
624,76842,3987,1
625,76842,24881,1
626,76854,34564,1
627,76854,39574,1
628,76854,49800,1
629,76854,72068,1
630,77153,49176,1
631,77153,76640,1
632,77513,18509,1
633,77513,31951,1
634,77513,40491,1
635,77513,57183,1
636,77746,9704,1
637,77746,31951,1
638,78236,210,1
639,78236,8372,1
640,78236,16397,1
641,78239,14859,1
642,78239,24131,1
643,78239,68730,1
644,78393,968,1
645,78393,52898,1
646,78393,53412,1
647,78477,2666,1
648,78477,5212,1
649,78477,43854,1
650,78477,53379,1
651,78596,29351,1
652,78596,73504,1
653,78600,9601,1
654,78600,45776,1
655,78632,52520,1
656,78632,63647,1
657,78822,36057,1
658,78822,59604,1
659,78822,67917,1
660,79099,21673,1
661,79099,44000,1
662,79207,31081,1
663,79207,36441,1
664,79207,56569,1
665,79207,60030,1
666,79378,15683,1
667,79378,29406,1
668,79629,18461,1
669,79698,3281,1
670,79698,28620,1
671,79698,28847,1
672,79698,48593,1
673,79874,23698,1
674,79874,78600,1
675,79968,20495,1
676,80588,17258,1
677,80588,42807,1
678,80588,51140,1
679,80588,61495,1
680,80588,71048,1
681,80736,47605,1
682,80932,11525,1
683,80932,29406,1
684,80932,62416,1
685,80932,67409,1
686,81159,570,1
687,81159,12796,1
688,81159,55699,1
689,81357,6142,1
690,81357,15184,1
691,81357,39508,1
692,81399,5940,1
693,81399,13067,1
694,81399,49309,1
695,81499,8138,1
696,81852,5940,1
697,81852,17039,1
698,81852,62567,1
699,81852,78393,1
700,82241,18678,1
701,82241,41974,1
702,82241,46047,1
703,82241,61083,1
704,82251,5950,1
705,82251,8643,1
706,82251,17039,1
707,82251,22854,1
708,82251,29415,1
709,82323,43378,1
710,82323,68357,1
711,82323,70813,1
712,82396,703,1
713,82396,60403,1
714,82396,69809,1
715,82396,70826,1
716,82540,1042,1
717,82540,16130,1
718,82540,65885,1
719,82954,3196,1
720,82954,21784,1
721,82954,25147,1
722,82954,44267,1
723,83266,18554,1
724,83266,22390,1
725,83266,31895,1
726,83266,35450,1
727,83266,42549,1
728,83266,51967,1
729,83478,17745,1
730,83478,56622,1
731,83509,49176,1
732,83653,2139,1
733,83653,17266,1
734,83653,44764,1
735,83653,66925,1
736,83804,42555,1
737,83874,11472,1
738,83874,34485,1
739,83874,41974,1
740,83874,60661,1
741,83874,67409,1
742,83951,31941,1
743,83951,33156,1
744,83951,63778,1
745,83965,1159,1
746,83965,12932,1
747,83965,45709,1
748,83965,70046,1
749,84365,20856,1
750,84365,24943,1
751,84365,30547,1
752,84365,53941,1
753,84399,4048,1
754,84399,22910,1
755,84399,31949,1
756,84461,2480,1
757,84461,53372,1
758,84461,58311,1
759,84461,59351,1
760,84638,3396,1
761,84638,75677,1
762,84717,16130,1
763,84724,29351,1
764,85147,24131,1
765,85147,68730,1
766,85245,14859,1
767,85245,22566,1
768,85245,26966,1
769,85245,78239,1
770,85288,39193,1
771,85288,53908,1
772,85322,6940,1
773,85322,21855,1
774,85365,3781,1
775,85365,24105,1
776,85365,43465,1
777,85478,79629,1
778,85480,84724,1
779,85808,2139,1
780,85808,17266,1
781,86345,53908,1
782,86345,71466,1
783,86345,79874,1
784,86382,20429,1
785,86382,40560,1
786,86382,47114,1
787,86382,50159,1
788,86382,52520,1
789,86464,8730,1
790,86464,21855,1
791,86464,43378,1
792,86464,70813,1
793,86464,82323,1
794,86480,21190,1
795,86480,26262,1
796,86480,35793,1
797,86480,44243,1
798,86480,46084,1
799,86480,59351,1
800,86502,66357,1
801,86622,5241,1
802,86622,35427,1
803,86622,52297,1
804,86735,24421,1
805,86945,21673,1
806,86945,40638,1
807,87074,7565,1
808,87074,19871,1
809,87074,24169,1
810,87074,29362,1
811,87345,58398,1
812,87345,65719,1
813,87345,83951,1
814,87498,82251,1
815,87543,31219,1
816,87543,47489,1
817,87543,69231,1
818,87595,14871,1
819,87595,17258,1
820,87595,29362,1
821,87595,71048,1
822,87979,22729,1
823,87979,41756,1
824,87979,66826,1
825,88090,24761,1
826,88090,26262,1
827,88090,33471,1
828,88098,45957,1
829,88098,63805,1
830,88186,81357,1
831,88186,84399,1
832,88214,18946,1
833,88214,33771,1
834,88214,39188,1
835,88214,69111,1
836,88214,75452,1
837,88214,76180,1
838,88347,6142,1
839,88347,15184,1
840,88347,28732,1
841,88347,81357,1
842,88567,18461,1
843,88567,72068,1
844,88567,78600,1
845,88567,79874,1
846,88731,23900,1
847,88731,29415,1
848,88731,29586,1
849,88731,42466,1
850,88731,64671,1
851,88731,67341,1
852,88766,38828,1
853,88766,73504,1
854,88766,88098,1
855,88839,13860,1
856,88839,53412,1
857,88870,58288,1
858,88903,8138,1
859,88903,41929,1
860,89004,570,1
861,89004,24854,1
862,89004,53908,1
863,89405,46202,1
864,89405,55125,1
865,89561,1478,1
866,89720,27066,1
867,89834,44000,1
868,89834,65885,1
869,89834,68203,1
870,89834,79099,1
871,89834,82540,1
872,89913,703,1
873,89913,37339,1
874,89913,52825,1
875,89913,60403,1
876,89913,69809,1
877,89913,70826,1
878,89913,82396,1
879,90336,21855,1
880,90336,31895,1
881,90336,46202,1
882,90336,48947,1
883,90827,6721,1
884,90827,39193,1
885,90827,55699,1
886,90827,85288,1
887,90827,89561,1
888,90906,31219,1
889,90906,47054,1
890,90906,69231,1
891,90906,87543,1
892,90953,39574,1
893,90953,71466,1
894,90953,76640,1
895,91158,55719,1
896,91301,9601,1
897,91301,19221,1
898,91301,44243,1
899,91301,59351,1
900,91301,72068,1
901,91462,42755,1
902,91462,63377,1
903,91479,22390,1
904,91479,35450,1
905,91479,65954,1
906,91479,67289,1
907,91479,69498,1
908,91532,4337,1
909,91532,11314,1
910,91532,13103,1
911,91949,9037,1
912,91949,27855,1
913,91949,63884,1
914,91949,81399,1
915,92136,3985,1
916,92136,16101,1
917,92136,30667,1
918,92136,60403,1
919,92247,2666,1
920,92247,5212,1
921,92247,17632,1
922,92247,50451,1
923,92247,53379,1
924,92247,58185,1
925,92247,78477,1
926,92300,12932,1
927,92300,20507,1
928,92300,26358,1
929,92300,83965,1
930,92304,29406,1
931,92304,37611,1
932,92304,52825,1
933,92304,73662,1
934,92462,1159,1
935,92462,3633,1
936,92462,37430,1
937,92477,461,1
938,92477,9793,1
939,92477,31673,1
940,92512,1728,1
941,92512,27592,1
942,92512,31895,1
943,92512,43378,1
944,92513,5656,1
945,92513,16518,1
946,92513,36441,1
947,92670,3310,1
948,92670,5381,1
949,92670,17745,1
950,92670,56622,1
951,92670,83478,1
952,92828,28122,1
953,92828,35450,1
954,92828,52898,1
955,92828,73565,1
956,92935,3310,1
957,92935,3396,1
958,92935,10257,1
959,92935,13385,1
960,92935,17368,1
961,92935,23046,1
962,92935,73256,1
963,92935,84638,1
964,92961,26262,1
965,92961,49396,1
966,92961,79629,1
967,92961,85478,1
968,93464,53297,1
969,93464,55163,1
970,93464,85322,1
971,93464,88731,1
972,93488,55849,1
973,93488,58185,1
974,93553,23046,1
975,93553,37611,1
976,93553,59604,1
977,94132,7240,1
978,94132,33821,1
979,94269,14859,1
980,94269,26966,1
981,94269,78239,1
982,95165,13860,1
983,95165,16288,1
984,95165,17326,1
985,95165,38534,1
986,95165,85365,1
987,95267,8332,1
988,95297,13067,1
989,95297,58288,1
990,95297,81399,1
991,95369,45957,1
992,95369,51833,1
993,95369,84724,1
994,95369,85480,1
995,95369,88766,1
996,95801,23046,1
997,95801,60403,1
998,95801,89913,1
999,95851,35119,1
1000,95851,39574,1
1001,95851,49800,1
1002,95851,76640,1
1003,95851,76854,1
1004,95851,90953,1
1005,96169,56622,1
1006,96169,74556,1
1007,96371,8107,1
1008,96371,76335,1
1009,96371,77153,1
1010,96399,2096,1
1011,96399,33771,1
1012,96399,39188,1
1013,96399,69111,1
1014,96399,88214,1
1015,96520,23698,1
1016,96721,14871,1
1017,96721,29362,1
1018,96721,80588,1
1019,96721,87595,1
1020,96881,53297,1
1021,96881,55163,1
1022,96881,69976,1
1023,97101,31949,1
1024,97101,82281,1
1025,97101,83804,1
1026,97123,32606,1
1027,97123,49176,1
1028,97123,83509,1
1029,97392,61588,1
1030,97392,92462,1
1031,97404,11791,1
1032,97404,14632,1
1033,97404,40856,1
1034,97404,64861,1
1035,97863,27638,1
1036,97863,31941,1
1037,97863,65719,1
1038,97863,87345,1
1039,97868,21784,1
1040,97868,25147,1
1041,97868,44267,1
1042,97868,66342,1
1043,97868,82954,1
1044,97995,10696,1
1045,97995,21153,1
1046,97995,32092,1
1047,97995,44304,1
1048,98158,22727,1
1049,98158,31317,1
1050,98158,42608,1
1051,98158,68377,1
1052,98158,68608,1
1053,98180,3310,1
1054,98180,3396,1
1055,98180,23046,1
1056,98180,56151,1
1057,98180,92935,1
1058,98360,5758,1
1059,98360,11325,1
1060,98360,14441,1
1061,98360,49161,1
1062,98360,88186,1
1063,98471,32588,1
1064,98941,18461,1
1065,98941,24761,1
1066,98941,45776,1
1067,98941,46551,1
1068,99181,23163,1
1069,99181,40560,1
1070,99471,5758,1
1071,99471,14441,1
1072,99471,37430,1
1073,99471,72911,1
1074,99471,73292,1
1075,99612,3987,1
1076,99612,5940,1
1077,99985,89405,1
1078,99985,90336,1
1079,100233,4999,1
1080,100233,76367,1
1081,100233,81357,1
1082,100351,44000,1
1083,100351,45988,1
1084,100351,68203,1
1085,100351,79099,1
1086,100351,80736,1
1087,100351,82540,1
1088,100351,89834,1
1089,100441,24893,1
1090,100441,28252,1
1091,100441,55125,1
1092,100455,3987,1
1093,100455,75279,1
1094,100455,76842,1
1095,100797,3985,1
1096,100797,5241,1
1097,100797,16101,1
1098,100797,36057,1
1099,100797,43831,1
1100,100797,92136,1
1101,100940,8107,1
1102,100940,64861,1
1103,100940,69430,1
1104,100940,97404,1
1105,101162,2964,1
1106,101162,13385,1
1107,101162,15683,1
1108,101162,75281,1
1109,101162,79378,1
1110,101222,93,1
1111,101222,4381,1
1112,101222,5656,1
1113,101222,16518,1
1114,101222,56569,1
1115,101222,60030,1
1116,101222,79207,1
1117,101222,92513,1
1118,101278,6818,1
1119,101278,31453,1
1120,101438,2515,1
1121,101438,82241,1
1122,101481,47054,1
1123,101481,69231,1
1124,101481,90906,1
1125,101526,20530,1
1126,101526,23163,1
1127,101526,30547,1
1128,101526,42004,1
1129,101666,7558,1
1130,101666,63805,1
1131,101666,88098,1
1132,101666,88766,1
1133,101737,6721,1
1134,101737,46181,1
1135,101737,89561,1
1136,101774,24421,1
1137,101774,46202,1
1138,101774,60768,1
1139,101774,86735,1
1140,101815,9704,1
1141,101815,77746,1
1142,101847,9793,1
1143,101847,31673,1
1144,101847,42608,1
1145,101908,3781,1
1146,101908,6393,1
1147,101908,24105,1
1148,101908,65954,1
1149,101908,67289,1
1150,101908,91479,1
1151,101942,43021,1
1152,101942,75279,1
1153,102018,43854,1
1154,102018,53379,1
1155,102076,43021,1
1156,102076,75279,1
1157,102076,76842,1
1158,102098,34485,1
1159,102098,37073,1
1160,102098,37611,1
1161,102098,45467,1
1162,102098,86622,1
1163,102098,92136,1
1164,102355,26966,1
1165,102355,39739,1
1166,102355,47803,1
1167,102927,8138,1
1168,102927,23898,1
1169,102927,41929,1
1170,102927,46181,1
1171,102927,88903,1
1172,103150,4048,1
1173,103150,22910,1
1174,103150,84399,1
1175,103150,88186,1
1176,103237,3388,1
1177,103237,27004,1
1178,103237,32930,1
1179,103309,21855,1
1180,103309,46202,1
1181,103309,55125,1
1182,103309,99985,1
1183,103351,39574,1
1184,103351,40856,1
1185,103351,95851,1
1186,103354,44267,1
1187,103354,66342,1
1188,103354,97868,1
1189,103593,1396,1
1190,103593,3196,1
1191,103593,25147,1
1192,103593,57687,1
1193,103593,66342,1
1194,103597,1042,1
1195,103597,33701,1
1196,103597,47605,1
1197,103597,53174,1
1198,103597,80736,1
1199,103890,27743,1
1200,103890,47866,1
1201,103890,55719,1
1202,103890,91158,1
1203,103936,141,1
1204,103936,12932,1
1205,103936,20507,1
1206,103936,45709,1
1207,103936,70046,1
1208,103936,83965,1
1209,103936,92300,1
1210,103936,98471,1
1211,104105,4048,1
1212,104105,5758,1
1213,104105,14441,1
1214,104105,73292,1
1215,104105,99471,1
1216,104257,12772,1
1217,104257,35825,1
1218,104257,73728,1
1219,104257,81499,1
1220,104433,76180,1
1221,104436,16288,1
1222,104436,17326,1
1223,104436,43465,1
1224,104436,95165,1
1225,104628,9793,1
1226,104628,14014,1
1227,104628,48009,1
1228,104628,62824,1
1229,104628,92477,1
1230,104628,98158,1
1231,104639,46269,1
1232,104639,48947,1
1233,104679,29362,1
1234,104679,42123,1
1235,104879,21673,1
1236,104879,68203,1
1237,104879,94132,1
1238,105364,17162,1
1239,105364,42608,1
1240,105364,101847,1
1241,105472,3987,1
1242,105472,31895,1
1243,105472,36623,1
1244,105552,5940,1
1245,105552,24934,1
1246,105552,27066,1
1247,105552,49309,1
1248,105552,81399,1
1249,105552,81852,1
1250,105552,95297,1
1251,105825,1159,1
1252,105825,4048,1
1253,105825,103150,1
1254,105967,8332,1
1255,105967,22729,1
1256,105967,95267,1
1257,106038,25916,1
1258,106209,30084,1
1259,106209,44723,1
1260,106209,50201,1
1261,106209,60044,1
1262,106209,69498,1
1263,106209,93488,1
1264,106252,23248,1
1265,106252,46778,1
1266,106543,17244,1
1267,106543,18554,1
1268,106543,22390,1
1269,106543,35450,1
1270,106543,51967,1
1271,106543,69498,1
1272,106543,83266,1
1273,106566,27638,1
1274,106566,63778,1
1275,106566,83951,1
1276,106566,87345,1
1277,106566,97863,1
1278,106836,11325,1
1279,106836,22910,1
1280,106836,26358,1
1281,106836,47260,1
1282,106836,98360,1
1283,106971,3310,1
1284,106971,17368,1
1285,106971,21802,1
1286,106971,73256,1
1287,106971,78822,1
1288,106971,98180,1
1289,106972,55125,1
1290,106972,89405,1
1291,106972,99985,1
1292,106972,103309,1
1293,107137,66826,1
1294,107137,95267,1
1295,107228,11314,1
1296,107228,13103,1
1297,107228,83245,1
1298,107228,91532,1
1299,107349,76122,1
1300,107349,78600,1
1301,107349,79874,1
1302,107380,31951,1
1303,107380,40491,1
1304,107380,77513,1
1305,107380,77746,1
1306,108307,42549,1
1307,108307,45239,1
1308,108307,57020,1
1309,108307,76314,1
1310,108307,102076,1
1311,108431,11791,1
1312,108431,40856,1
1313,108431,57973,1
1314,108431,97404,1
1315,108581,8138,1
1316,108581,35825,1
1317,108581,41929,1
1318,108581,81159,1
1319,108581,102927,1
1320,108619,3781,1
1321,108619,6393,1
1322,108619,43465,1
1323,108619,85365,1
1324,108619,101908,1
1325,108852,52262,1
1326,108852,67438,1
1327,108852,86735,1
1328,108852,88839,1
1329,109051,16101,1
1330,109051,46047,1
1331,109051,56622,1
1332,109051,70133,1
1333,109051,74556,1
1334,109051,95801,1
1335,109051,96169,1
1336,109051,102098,1
1337,109106,60907,1
1338,109106,66357,1
1339,109106,86502,1
1340,109109,27592,1
1341,109109,29247,1
1342,109109,53412,1
1343,109109,81399,1
1344,109109,92512,1
1345,109109,105552,1
1346,109677,43709,1
1347,109677,45988,1
1348,109677,65771,1
1349,109677,100351,1
1350,109828,26966,1
1351,109828,85245,1
1352,109828,91158,1
1353,109828,102355,1
1354,110185,31219,1
1355,110185,36737,1
1356,110185,47489,1
1357,110185,69231,1
1358,110185,90906,1
1359,110473,16397,1
1360,110473,29351,1
1361,110473,51833,1
1362,110473,64455,1
1363,110629,27066,1
1364,110629,27711,1
